generacion,optimal,avg,dominio
65,10153.0,10827.78,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
66,10153.0,10827.27,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
67,10153.0,10828.26,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
68,10153.0,10822.4,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
69,10153.0,10806.23,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
70,10153.0,10827.89,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
71,10153.0,10822.81,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
72,10153.0,10784.51,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
73,10153.0,10776.81,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
74,10153.0,10789.24,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
75,10105.0,10773.17,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
76,10105.0,10796.07,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
77,10105.0,10814.65,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
78,10105.0,10847.33,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
79,10105.0,10836.82,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
80,10105.0,10819.77,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
81,10105.0,10821.17,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
82,10105.0,10780.16,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
83,10105.0,10805.89,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
84,10105.0,10819.91,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
85,10105.0,10788.47,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
86,10105.0,10790.63,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
87,10105.0,10784.86,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
88,10105.0,10825.62,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
89,10105.0,10834.57,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
90,10105.0,10773.2,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
91,10105.0,10802.05,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
92,10105.0,10823.03,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
